Id,Name,Propeller_diameter,Tdp,Price,Recommended,Link
66,ZALMAN CNPS16X BLACK,120 мм,150 Вт,4990,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps16x-black-soc-fm2-am2-am3-am4-1373053/
67,ZALMAN CNPS10X Optima II White RGB,120 мм,180 Вт,2770,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps10x-optima-ii-white-rgb-ret-1477514/
68,ZALMAN CNPS17X,140 мм,200 Вт,4690,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps17x-soc-fm2-am2-am3-am4-1150-1373154/
69,COOLER MASTER Hyper H412R,92 мм,120 Вт,1880,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-hyper-h412r-ret-1457299/
70,COOLER MASTER Watercooler ML120L V2 RGB,120 мм,180 Вт,4780,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-watercooler-ml120l-v2-rgb-1457484/
71,ZALMAN CNPS2X,80 мм,120 Вт,2030,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps2x-80mm-ret-890790/
72,COOLER MASTER Z70,120 мм,95 Вт,600,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-z70-ret-1457173/
73,COOLER MASTER Hyper 212 LED,120 мм,130 Вт,3000,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-hyper-212-led-ret-1457176/
74,COOLER MASTER Hyper T200 PWM,112 мм,100 Вт,1090,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-hyper-t200-pwm-ret-1457235/
75,TITAN DC-155A915Z/R,95 мм,75 Вт,480,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-155a915z-r-95mm-ret-663121/
76,COOLER MASTER X Dream P115 PWM,95 мм,материал - алюминий,740,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-x-dream-p115-pwm-ret-1457212/
77,TITAN TTC-NC25TZ/PWRB,80 мм,130 Вт,2530,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-nc25tz-pw-rb-80mm-ret-662431/
78,TITAN TTC-ND15TB/PWRB,80 мм,95 Вт,2030,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-nd15tb-pw-rb-80mm-ret-1034115/
79,COOLER MASTER Hyper H411R,92 мм,100 Вт,1910,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-hyper-h411r-ret-1457184/
80,TITAN Hati TTC-NC15TZ/KURB,120 мм,160 Вт,3170,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-hati-ttc-nc15tz-ku-rb-120mm-ret-625159/
81,TITAN DC-156V925X/R,95 мм,75 Вт,620,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-156v925x-r-95mm-ret-648004/
82,TITAN DC-156V925X/RPW/CU25,95 мм,105 Вт,1040,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-156v925x-rpw-cu25-95mm-ret-645843/
83,TITAN DC-156V925X/RPW,95 мм,95 Вт,810,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-dc-156v925x-rpw-95mm-ret-663120/
84,COOLER MASTER MA410M ARGB,120 мм,150 Вт,4990,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-cooler-master-ma410m-argb-ret-1457223/
85,TITAN Fenrir Siberia,140 мм,220 Вт,5650,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-fenrir-siberia-140mm-ret-662430/
86,ZALMAN CNPS80G Rev.1,85 мм,65 Вт,550,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-zalman-cnps80g-rev-1-soc-am4-am3-1150-11-1477503/
87,TITAN TTC-NC65TXRB,80 мм,105 Вт,1630,0,https://www.citilink.ru/product/ustroistvo-ohlazhdeniya-kuler-titan-ttc-nc65tx-rb-80mm-ret-717343/
