Id,Name,Type,Picture,Price,Recommended,Link
77,ATX ZALMAN S5 черный,Midi-Tower,https://items.s1.citilink.ru/1358131_v01_m.jpg,4060,0,https://www.citilink.ru/product/korpus-atx-zalman-s5-midi-tower-bez-bp-chernyi-1358131/
78,mATX FORMULA FM-602 черный,Micro-Tower,https://items.s1.citilink.ru/307645_v01_m.jpg,4110,0,https://www.citilink.ru/product/korpus-matx-formula-fm-602-micro-tower-450vt-chernyi-307645/
79,ATX AEROCOOL AERO-300 FAW черный,Midi-Tower,https://items.s1.citilink.ru/442218_v01_m.jpg,2830,0,https://www.citilink.ru/product/korpus-atx-aerocool-aero-300-faw-midi-tower-bez-bp-chernyi-442218/
80,ATX LINKWORLD VC05-1011 черный,Mini-Tower,https://items.s1.citilink.ru/1123274_v01_m.jpg,2430,0,https://www.citilink.ru/product/korpus-atx-linkworld-vc05-1011-mini-tower-bez-bp-chernyi-1123274/
81,ATX FORMULA V-LINE 7706 черный,Midi-Tower,https://items.s1.citilink.ru/1170000_v01_m.jpg,4460,0,https://www.citilink.ru/product/korpus-atx-formula-v-line-7706-midi-tower-bez-bp-chernyi-1170000/
82,ATX AEROCOOL Hive-G-BK-v2 черный,Midi-Tower,https://items.s1.citilink.ru/1387715_v01_m.jpg,3930,0,https://www.citilink.ru/product/korpus-aerocool-hive-g-bk-v2-chernyi-bez-bp-atx-4x120mm-1xusb2-0-2xusb-1387715/
83,mATX ZALMAN M3 Plus черный,Mini-Tower,https://items.s1.citilink.ru/1386580_v01_m.jpg,4270,0,https://www.citilink.ru/product/korpus-zalman-m3-plus-chernyi-bez-bp-matx-4x120mm-2xusb2-0-1xusb3-0-au-1386580/
84,ATX AEROCOOL Quantum Mesh-G-BK-v2 черный,Midi-Tower,https://items.s1.citilink.ru/1418744_v01_m.jpg,3840,0,https://www.citilink.ru/product/korpus-aerocool-quantum-mesh-g-bk-v2-chernyi-bez-bp-atx-3x120mm-1xusb2-1418744/
85,ATX AEROCOOL AERO-300 черный,Midi-Tower,https://items.s1.citilink.ru/408441_v01_m.jpg,3130,0,https://www.citilink.ru/product/korpus-atx-aerocool-aero-300-midi-tower-bez-bp-chernyi-408441/
86,ATX ACCORD ACC-CT308 черный,Midi-Tower,https://items.s1.citilink.ru/1056326_v01_m.jpg,2480,0,https://www.citilink.ru/product/korpus-atx-accord-acc-ct308-midi-tower-bez-bp-chernyi-1056326/
87,ATX FRACTAL DESIGN Meshify C Blackout TG черный,Midi-Tower,https://items.s1.citilink.ru/486263_v01_m.jpg,7790,0,https://www.citilink.ru/product/korpus-atx-fractal-design-meshify-c-blackout-tg-midi-tower-bez-bp-cher-486263/
88,mATX THERMALTAKE Versa H15 черный,Micro-Tower,https://items.s1.citilink.ru/306773_v01_m.jpg,3440,0,https://www.citilink.ru/product/korpus-matx-thermaltake-versa-h15-micro-tower-bez-bp-chernyi-306773/
89,ATX ZALMAN Z3 черный,Midi-Tower,https://items.s1.citilink.ru/893540_v01_m.jpg,4610,0,https://www.citilink.ru/product/korpus-atx-zalman-z3-midi-tower-bez-bp-chernyi-893540/
90,ATX FRACTAL DESIGN FOCUS G Window белый,Midi-Tower,https://items.s1.citilink.ru/474488_v01_m.jpg,4900,0,https://www.citilink.ru/product/korpus-atx-fractal-design-focus-g-window-midi-tower-bez-bp-belyi-474488/
91,mATX AEROCOOL Playa Slim черный,Slim-Tower,https://items.s1.citilink.ru/1096394_v01_m.jpg,2970,0,https://www.citilink.ru/product/korpus-matx-aerocool-playa-slim-slim-tower-bez-bp-chernyi-1096394/
92,ATX ZALMAN Z3 PLUS белый,Midi-Tower,https://items.s1.citilink.ru/923096_v01_m.jpg,5000,0,https://www.citilink.ru/product/korpus-atx-zalman-z3-plus-midi-tower-bez-bp-belyi-923096/
93,ATX NZXT H510 CA-H510B-W1 белый,Midi-Tower,https://items.s1.citilink.ru/1167975_v01_m.jpg,7140,0,https://www.citilink.ru/product/korpus-atx-nzxt-h510-ca-h510b-w1-midi-tower-bez-bp-belyi-1167975/
94,mATX THERMALTAKE Core V21 черный,Micro-Tower,https://items.s1.citilink.ru/316425_v01_m.jpg,6810,0,https://www.citilink.ru/product/korpus-matx-thermaltake-core-v21-micro-tower-bez-bp-chernyi-316425/
95,ATX FRACTAL DESIGN Meshify C TG белый,Midi-Tower,https://items.s1.citilink.ru/1076805_v01_m.jpg,9420,0,https://www.citilink.ru/product/korpus-atx-fractal-design-meshify-c-tg-midi-tower-bez-bp-belyi-1076805/
96,ATX THERMALTAKE Level 20 MT ARGB черный,Midi-Tower,https://items.s1.citilink.ru/1106021_v01_m.jpg,6700,0,https://www.citilink.ru/product/korpus-atx-thermaltake-level-20-mt-argb-midi-tower-bez-bp-chernyi-1106021/
97,ATX FORMULA V-LINE 2055W белый,Midi-Tower,https://items.s1.citilink.ru/1417211_v01_m.jpg,3760,0,https://www.citilink.ru/product/korpus-formula-v-line-2055w-belyi-belyi-bez-bp-atx-1x120mm-2xusb2-0-1x-1417211/
98,miniITX THERMALTAKE Core V1 черный,Mini-Tower,https://items.s1.citilink.ru/950516_v01_m.jpg,4240,0,https://www.citilink.ru/product/korpus-miniitx-thermaltake-core-v1-mini-tower-bez-bp-chernyi-950516/
99,mATX THERMALTAKE Versa H13 черный,Micro-Tower,https://items.s1.citilink.ru/306766_v01_m.jpg,3720,0,https://www.citilink.ru/product/korpus-matx-thermaltake-versa-h13-micro-tower-bez-bp-chernyi-306766/
100,ATX FORMULA V-LINE FROST-07 черный,Midi-Tower,https://items.s1.citilink.ru/1209195_v01_m.jpg,4160,0,https://www.citilink.ru/product/korpus-formula-v-line-frost-07-chernyi-bez-bp-atx-3x120mm-2xusb2-0-1xu-1209195/
101,ATX THERMALTAKE Suppressor F31 черный,Midi-Tower,https://items.s1.citilink.ru/326785_v01_m.jpg,8910,0,https://www.citilink.ru/product/korpus-atx-thermaltake-suppressor-f31-midi-tower-bez-bp-chernyi-326785/
102,ATX AEROCOOL RIFT черный,Midi-Tower,https://items.s1.citilink.ru/1103502_v01_m.jpg,2980,0,https://www.citilink.ru/product/korpus-atx-aerocool-rift-midi-tower-bez-bp-chernyi-1103502/
